t1,t2,t3,t4,t5,t6,t7,t8,t9,r1,r2,r3,r4,r5,r6,r7,r8,r9,n1,n2,n3,n4,n5,n6,n7,n8,n9,design_idx
2,4,,,,,,,,7,1,,,,,,,,1243,2489,,,,,,,,1
2,4,,,,,,,,185,11,,,,,,,,14073,14134,,,,,,,,1
2,13,,,,,,,,141,121,,,,,,,,385,561,,,,,,,,1
2,7,,,,,,,,69,16,,,,,,,,323,463,,,,,,,,1
2,7,,,,,,,,69,16,,,,,,,,9144,18584,,,,,,,,1
2,8,,,,,,,,61,18,,,,,,,,8502,8471,,,,,,,,1
2,3,,,,,,,,16,1,,,,,,,,978,1006,,,,,,,,1
2,3,,,,,,,,47,8,,,,,,,,4581,18198,,,,,,,,1
2,9,,,,,,,,345,114,,,,,,,,19544,19514,,,,,,,,1
2,12,,,,,,,,62,28,,,,,,,,3064,3060,,,,,,,,1
2,12,,,,,,,,79,23,,,,,,,,3233,3247,,,,,,,,1
2,5,,,,,,,,38,15,,,,,,,,2430,2377,,,,,,,,1
2,5,,,,,,,,33,12,,,,,,,,2025,2063,,,,,,,,1
2,5,,,,,,,,140,73,,,,,,,,4239,4223,,,,,,,,1
2,12,,,,,,,,51,18,,,,,,,,1973,1923,,,,,,,,1
2,3,,,,,,,,16,3,,,,,,,,750,1518,,,,,,,,1
2,5,,,,,,,,11,8,,,,,,,,4290,4244,,,,,,,,1
1,3,10,,,,,,,4155,8,25,,,,,,,1414660,19088,14690,,,,,,,2
1,15,,,,,,,,12318,101,,,,,,,,53415,16436,,,,,,,,2
1,3,4,5,,,,,,7104,5062,300,465,,,,,,842974,842974,842974,842974,,,,,,2
1,3,4,5,,,,,,3874,154,8,5,,,,,,42791,316650,316650,12837,,,,,,2
1,10,,,,,,,,400,137,,,,,,,,56997,57358,,,,,,,,2
1,3,,,,,,,,818,79,,,,,,,,46384,46815,,,,,,,,2
1,3,10,,,,,,,994,7,13,,,,,,,2290189,27274,27274,,,,,,,2
1,3,17,,,,,,,166671,4070,183,,,,,,,1254548,108473,26406,,,,,,,2
5,14,,,,,,,,389,238,,,,,,,,3268,3169,,,,,,,,2
1,4,,,,,,,,1144,289,,,,,,,,352878,352878,,,,,,,,3
1,3,4,5,9,10,11,12,14,4811,1070,85,272,209,351,70,302,7,14348,7972,1127,1539,997,2022,517,1599,119,3
1,10,12,,,,,,,723,23,36,,,,,,,15392,4681,4681,,,,,,,3
1,3,,,,,,,,112,2,,,,,,,,628,1508,,,,,,,,3
3,14,,,,,,,,81,10,,,,,,,,10609,2512,,,,,,,,3
1,3,10,,,,,,,17215,50,892,,,,,,,34047,515,2133,,,,,,,4
1,3,10,,,,,,,19787,179,1329,,,,,,,39188,877,2909,,,,,,,4
1,11,,,,,,,,235,2,,,,,,,,810,9,,,,,,,,4
1,11,,,,,,,,299,3,,,,,,,,810,9,,,,,,,,4
1,11,,,,,,,,57,1,,,,,,,,810,9,,,,,,,,4
1,4,,,,,,,,235,2,,,,,,,,810,46,,,,,,,,4
1,4,,,,,,,,299,39,,,,,,,,810,46,,,,,,,,4
1,4,,,,,,,,57,2,,,,,,,,810,46,,,,,,,,4
1,3,4,10,11,,,,,3424,48,2,1202,64,,,,,22087,2002,128,25791,1593,,,,,4
1,3,10,,,,,,,9021,959,380,,,,,,,137293,67038,7215,,,,,,,4
1,10,11,,,,,,,475,646,105,,,,,,,4542,10569,1882,,,,,,,4
1,10,11,12,,,,,,5258,1030,252,576,,,,,,40616,16396,4083,6979,,,,,,4
1,6,16,,,,,,,2661562,25134,103,,,,,,,5529996,80547,2552,,,,,,,4
